iter	Passed	Remaining
675	3619	1734
676	3625	1729
677	3630	1724
678	3635	1718
679	3641	1713
680	3646	1708
681	3652	1702
682	3657	1697
683	3662	1692
684	3668	1686
685	3673	1681
686	3679	1676
687	3684	1670
688	3689	1665
689	3695	1660
690	3700	1654
691	3706	1649
692	3711	1644
693	3716	1638
694	3722	1633
695	3727	1628
696	3733	1623
697	3738	1617
698	3744	1612
699	3750	1607
700	3755	1601
701	3760	1596
702	3765	1590
703	3771	1585
704	3776	1580
705	3782	1574
706	3787	1569
707	3792	1564
708	3798	1559
709	3803	1553
710	3809	1548
711	3814	1542
712	3820	1537
713	3826	1532
714	3831	1527
715	3837	1522
716	3842	1516
717	3847	1511
718	3853	1505
719	3858	1500
720	3863	1495
721	3868	1489
722	3873	1484
723	3879	1478
724	3884	1473
725	3889	1468
726	3894	1462
727	3899	1457
728	3904	1451
729	3909	1445
730	3914	1440
731	3919	1434
732	3923	1429
733	3929	1424
734	3934	1418
735	3939	1412
736	3945	1407
737	3950	1402
738	3957	1397
739	3962	1392
740	3968	1387
741	3974	1381
742	3979	1376
743	3985	1371
744	3991	1366
745	3997	1360
746	4002	1355
747	4007	1350
748	4012	1344
749	4017	1339
750	4022	1333
751	4026	1328
752	4032	1322
753	4036	1317
754	4041	1311
755	4047	1306
756	4051	1300
757	4056	1295
758	4061	1289
759	4066	1284
760	4071	1278
761	4076	1273
762	4081	1267
763	4087	1262
764	4091	1256
765	4097	1251
766	4102	1246
767	4108	1241
768	4114	1235
769	4119	1230
770	4125	1225
771	4130	1219
772	4135	1214
773	4140	1209
774	4145	1203
775	4151	1198
776	4156	1192
777	4161	1187
778	4167	1182
779	4172	1176
780	4179	1171
781	4184	1166
782	4189	1161
783	4194	1155
784	4199	1150
785	4205	1145
786	4210	1139
787	4215	1134
788	4220	1128
789	4225	1123
790	4231	1118
791	4236	1112
792	4241	1107
793	4246	1101
794	4251	1096
795	4257	1091
796	4262	1085
797	4267	1080
798	4272	1074
799	4276	1069
800	4282	1063
801	4287	1058
802	4291	1052
803	4297	1047
804	4301	1042
805	4306	1036
806	4311	1031
807	4316	1025
808	4321	1020
809	4326	1014
810	4330	1009
811	4335	1003
812	4340	998
813	4345	992
814	4350	987
815	4354	981
816	4359	976
817	4365	971
818	4369	965
819	4374	960
820	4379	954
821	4384	949
822	4390	944
823	4395	938
824	4401	933
825	4407	928
826	4412	923
827	4418	917
828	4422	912
829	4428	907
830	4433	901
831	4439	896
832	4443	890
833	4448	885
834	4453	880
835	4458	874
836	4463	869
837	4469	863
838	4473	858
839	4479	853
840	4484	847
841	4488	842
842	4494	836
843	4498	831
844	4504	826
845	4509	820
846	4513	815
847	4519	810
848	4524	804
849	4529	799
850	4534	793
851	4538	788
852	4544	783
853	4548	777
854	4553	772
855	4559	766
856	4563	761
857	4568	756
858	4574	750
859	4579	745
860	4584	740
861	4589	734
862	4594	729
863	4599	724
864	4604	718
865	4609	713
866	4614	707
867	4619	702
868	4624	697
869	4629	691
870	4634	686
871	4639	680
872	4643	675
873	4649	670
874	4653	664
875	4658	659
876	4664	654
877	4669	648
878	4673	643
879	4679	638
880	4684	632
881	4689	627
882	4694	622
883	4699	616
884	4705	611
885	4709	606
886	4715	600
887	4720	595
888	4724	589
889	4730	584
890	4734	579
891	4739	573
892	4745	568
893	4749	563
894	4755	557
895	4759	552
896	4764	547
897	4770	541
898	4775	536
899	4780	531
900	4785	525
901	4790	520
902	4796	515
903	4800	509
904	4805	504
905	4810	499
906	4815	493
907	4820	488
908	4825	483
909	4829	477
910	4835	472
911	4839	467
912	4844	461
913	4849	456
914	4854	450
915	4860	445
916	4864	440
917	4869	434
918	4874	429
919	4879	424
920	4884	418
921	4889	413
922	4894	408
923	4900	403
924	4904	397
925	4909	392
926	4914	387
927	4919	381
928	4924	376
929	4929	371
930	4933	365
931	4939	360
932	4943	355
933	4948	349
934	4953	344
935	4958	339
936	4963	333
937	4968	328
938	4973	323
939	4978	317
940	4983	312
941	4988	307
942	4993	301
943	4998	296
944	5003	291
945	5008	285
946	5013	280
947	5018	275
948	5022	269
949	5028	264
950	5032	259
951	5037	253
952	5042	248
953	5047	243
954	5052	238
955	5057	232
956	5062	227
957	5067	222
958	5072	216
959	5076	211
960	5081	206
961	5086	200
962	5090	195
963	5096	190
964	5101	185
965	5105	179
966	5110	174
967	5115	169
968	5120	163
969	5125	158
970	5130	153
971	5135	147
972	5140	142
973	5144	137
974	5149	132
975	5154	126
976	5159	121
977	5163	116
978	5168	110
979	5173	105
980	5178	100
981	5182	94
982	5188	89
983	5192	84
984	5197	79
985	5203	73
986	5208	68
987	5213	63
988	5218	58
989	5222	52
990	5227	47
991	5232	42
992	5237	36
993	5242	31
994	5247	26
995	5252	21
996	5257	15
997	5261	10
998	5267	5
999	5271	0
